evidence_id,claim_ids,source_type,title,identifier,year,novelty_axis,direct_overlap,decision,reason,checked_at,access_status,limitations
N001,C001,peer-reviewed article,Atomic cross-chain settlement model for central banks digital currency,10.1016/j.ins.2021.09.040,2021,cross-border atomicity,Atomic cross-chain CBDC settlement,STRONG_PREDECESSOR,Does not supply the same cross-domain qualification method,2026-08-29,METADATA_AND_CITATION_VERIFIED,Full-text feature reconciliation and citation chaining incomplete
N002,C001,preprint,CBDC-AquaSphere: Interoperable Central Bank Digital Currency Built on Trusted Computing and Blockchain,arXiv:2305.16893,2023,interoperability architecture,Independent semi-centralized ledgers with privacy and scalability goals,STRONG_PREDECESSOR,TEE-specific architecture and preprint evidence maturity,2026-08-29,PUBLIC_METADATA_CAPTURED,Follow-on and forward-citation search incomplete
N003,C001,policy report,Cross-Border Payments with Retail Central Bank Digital Currencies: Design and Policy Considerations,10.5089/9798400272035.063,2024,cross-border design,Access communication FX compliance and settlement elements,STRONG_PREDECESSOR,Policy architecture rather than full executable qualification package,2026-08-29,OFFICIAL_SOURCE_VERIFIED,Institutional implementation follow-up incomplete
N004,C001,institutional architecture,High-level technical requirements for a functional central bank digital currency architecture,BIS othp82,2023,functional architecture,Interoperability scalability security and privacy requirements,STRONG_PREDECESSOR,Requirements do not by themselves provide claim-maturity evidence gates,2026-08-29,OFFICIAL_SOURCE_VERIFIED,Standards and central-bank report surface not exhaustive
N005,C001,peer-reviewed article,Privacy and Transparency in CBDCs: A Regulation-by-Design AML/CFT Scheme,10.1109/TNSM.2021.3136984,2022,privacy AML,Regulation-by-design AML/CFT and privacy,STRONG_PREDECESSOR,Narrower assurance surface,2026-08-29,METADATA_AND_CITATION_VERIFIED,Later citing work not exhaustively chained
N006,C001,institutional prototype,Project Agora: exploring tokenisation of wholesale cross-border payments,https://www.bis.org/about/bisih/topics/fmis/agora.htm,2026,real-value settlement,Controlled real-value multi-currency wholesale testing,STRONGER_EVIDENCE_ON_NARROW_SURFACE,Shared platform and different contribution scope,2026-08-29,OFFICIAL_SOURCE_VERIFIED,Controlled prototype does not establish the manuscript's joint qualification method
N007,C001,working paper,Central Bank Digital Currency Towards A Composable Standards-Based Implementation,10.2139/ssrn.4251613,2022,composable implementation,Composable standards-based token and contract networks with software demonstrations,DEFEATS_BROAD_COMPOSABILITY,Broad first-composable or first-standards-based priority is not defensible,2026-08-29,METADATA_AND_CITATION_VERIFIED,Full-text feature reconciliation and citation chaining incomplete
N008,C001,peer-reviewed article,Privacy and Compliance Design Options in Offline Central Bank Digital Currencies,10.1109/TNSM.2025.3575367,2025,offline privacy compliance,Classification and compliance-by-design for offline CBDC,STRONG_PREDECESSOR,Offline and privacy-compliance scope differs from the joint online assurance package,2026-08-29,METADATA_AND_CITATION_VERIFIED,Citation-chain and related-offline-system coverage incomplete
N009,C001,patent,Systems and methods for providing interoperability in a CBDC network,WO2025085074A1,2025,architecture-agnostic interoperability,Reservation messages checkpoints and cross-system finalization,DEFEATS_BROAD_INTEROPERABILITY_PRIORITY,Broad architecture-agnostic checkpoint and finalization priority is not defensible,2026-08-29,PATENT_PAGE_VERIFIED,Patent-family and cited-patent chaining incomplete; legal status is not a legal conclusion
N010,C001,preprint,On the Operational Resilience of CBDC: Threats and Prospects of Formal Validation for Offline Payments,arXiv:2508.08064,2025,formal resilience,Formal-method validation advocated for CBDC operational resilience,STRONG_PREDECESSOR,Offline focus and preprint status differ from the executed multi-surface prototype,2026-08-29,PUBLIC_METADATA_CAPTURED,Formal refinement proof remains absent from v8
