claim_id,predecessor_id,problem_overlap,mechanism_overlap,evaluation_overlap,evidence_maturity_overlap,material_difference,defeating_evidence,search_surface,discovery_mode,independent_challenger_disposition,access_status,residual_uncertainty
C001,N007,Composable CBDC architecture,Standards-based token and contract networks,Working software demonstrations,Prototype/internal,The v8 hypothesis is a non-compensating claim-to-evidence qualification method rather than first composable implementation,Broad composability priority is defeated by N007,SSRN and scholarly metadata,Targeted known-item recovery,NOT_PERFORMED,METADATA_AND_CITATION_VERIFIED,Full-text feature reconciliation and citation chaining incomplete
C001,N009,Cross-system CBDC interoperability,Architecture-agnostic reservation messages checkpoints and finalization,Patent embodiments,Analytic/design,The v8 method binds bilateral compliance FX and prepare evidence to bounded certificates and broader maturity gates,Broad architecture-agnostic checkpoint and finalization priority is defeated by N009,WIPO patent and Google Patents,Patent known-item search,NOT_PERFORMED,PATENT_PAGE_VERIFIED,Patent-family and cited-patent chaining incomplete
C001,N001,Cross-ledger CBDC settlement,Atomic cross-chain settlement,Proof-of-concept evaluation,Prototype/internal,The v8 method integrates settlement with privacy integrity policy and scale evidence ceilings,N001 defeats any first-atomic-settlement claim,Peer-reviewed paper and DOI metadata,Targeted DOI recovery,NOT_PERFORMED,METADATA_AND_CITATION_VERIFIED,Other atomic protocols may narrow the settlement contribution
C001,N002,Independent CBDC ledgers,TEE and blockchain interoperability,Prototype/design,Preprint/internal,The v8 method is technology-neutral and centers evidence qualification,N002 defeats novelty claims based only on independent-ledger interoperability,arXiv and scholarly metadata,Targeted preprint recovery,NOT_PERFORMED,PUBLIC_METADATA_CAPTURED,Follow-on literature not fully chained
C001,N006,Multi-currency cross-border settlement,Shared programmable wholesale platform,Controlled real-value scenarios,Controlled real-value,The v8 paper studies independent sovereign ledgers and a qualification methodology,N006 has stronger narrow real-value maturity than v8,BIS institutional source,Official-site known-item recovery,NOT_PERFORMED,OFFICIAL_SOURCE_VERIFIED,Agorá has stronger narrow real-value evidence and v8 has no field evidence
C001,N003,Cross-border retail CBDC design,Five design elements,Policy analysis,Institutional/policy,The v8 package supplies an executable formal prototype and evaluation gates,N003 defeats priority for combining access communication FX compliance and settlement,IMF institutional source,Official DOI and report recovery,NOT_PERFORMED,OFFICIAL_SOURCE_VERIFIED,Adjacent institutional implementations may be closer
C001,N004,CBDC functional requirements,Interoperability scalability security and privacy,Architecture requirements,Institutional/policy,The v8 method maps cross-surface claims to falsifiable evidence ceilings,N004 defeats priority for spanning these requirement categories,BIS institutional source,Official-site known-item recovery,NOT_PERFORMED,OFFICIAL_SOURCE_VERIFIED,Standards and central-bank reports require broader coverage
C001,N005,Privacy and AML/CFT,Regulation-by-design scheme,Technical and legal analysis,Peer-reviewed analytic,The v8 package adds measured residual leakage DP AML sanctions economics and scale gates,N005 defeats first privacy AML compliance-by-design claims,IEEE and DOI metadata,Targeted DOI recovery,NOT_PERFORMED,METADATA_AND_CITATION_VERIFIED,Later privacy-compliance systems may be closer
C001,N008,Offline privacy and AML/CFT,Compliance-by-design classification,Techno-legal framework,Peer-reviewed analytic,The v8 package covers online system composition and multiple evidence families,N008 narrows privacy and compliance differentiation,IEEE and DOI metadata,Targeted DOI recovery,NOT_PERFORMED,METADATA_AND_CITATION_VERIFIED,Offline surface is not directly evaluated by v8
C001,N010,CBDC operational resilience,Formal-method validation advocacy,Threat and validation discussion,Preprint analytic,The v8 package provides an executed bounded model plus staged scale falsification,N010 defeats broad novelty based on formal validation advocacy,arXiv and scholarly metadata,Targeted preprint recovery,NOT_PERFORMED,PUBLIC_METADATA_CAPTURED,Formal refinement remains absent in v8
C001,N011,Privacy-preserving compliant CBDC prototype,Secure-element identity attestations holding limits and security controls,Open-source prototype plus device latency evaluation,Preprint prototype/internal,The manuscript covers online cross-border settlement and five additional evidence families under a non-compensating gate,N011 defeats broad claims to first combine privacy compliance holding limits prototype and measured performance,arXiv full text,Corrected-query primary screening plus full-text review,NOT_PERFORMED,PUBLIC_FULL_TEXT_REVIEWED,Successor publication status and citation chain incomplete
C001,N012,Cross-border CBDC settlement with programmable compliance,ISO 20022 messaging and FATF Travel Rule automation,Prototype claimed in title,Working-paper metadata only,Material difference is not assessable without abstract or full text,N012 may substantially overlap settlement compliance evidence and prototype claims,SSRN and Crossref metadata,Corrected-query primary screening,NOT_PERFORMED,METADATA_TITLE_ONLY_SSRN_403,Potentially closest operational predecessor blocks novelty-survival decision until retrieved
C001,N013,Multi-CBDC cross-border architecture,Atomic PvP programmable compliance AI liquidity optimisation and cooperative governance,Agent-based and Monte Carlo simulation,Working paper/simulated,The manuscript uses independent ledgers and a claim-evidence maturity method rather than an mBridge-plus-AI optimization architecture,N013 narrows cross-border programmable-compliance simulation and governance differentiation,SSRN and Crossref metadata,Corrected-query primary screening plus public abstract review,NOT_PERFORMED,PUBLIC_SSRN_ABSTRACT_REVIEWED,Full-text methods and calibration claims require verification
C001,N014,Cross-border CBDC settlement,Tokenised-gold bridge sanctions ring-fencing and confidential compliance,Corridor Monte Carlo simulations,Working paper/simulated,The manuscript does not use a bridge asset and instead qualifies evidence across independent-ledger and assurance surfaces,N014 narrows atomic settlement compliance governance and simulation claims,SSRN Crossref and public metadata,Corrected-query primary screening plus public abstract review,NOT_PERFORMED,PUBLIC_METADATA_AND_ABSTRACT_REVIEWED,Full-text simulation provenance and citation chain incomplete
C001,N015,Joint CBDC technology and institutional design,Parametric ledger architecture holding-cap threshold and bounded policy-rule update,Analytical propositions and stylized numerical exercises,Peer-reviewed analytic,The manuscript's claimed contribution is the non-compensating evidence-maturity gate rather than a parametric monetary architecture vocabulary,N015 narrows joint architecture policy-limit and analytical-framework differentiation,MDPI version of record and Crossref metadata,Corrected-query primary screening plus publisher HTML review,NOT_PERFORMED,PUBLISHER_HTML_VERSION_OF_RECORD_REVIEWED,Backward and forward citation chaining incomplete
C001,N016,Privacy-preserving CBDC architecture,Self-custody proof of provenance and permissioned validation,Performance benchmark,Preprint prototype/internal,The manuscript qualifies six assurance surfaces and does not claim first privacy architecture or benchmark,N016 narrows privacy provenance verification and performance claims,arXiv full text,Corrected-query primary screening plus abstract review,NOT_PERFORMED,PUBLIC_ABSTRACT_REVIEWED,Full-text benchmark and citation-chain reconciliation incomplete
C001,N017,CBDC evaluation and verification method,Recommendation of consensus and operating-architecture solutions plus empirical and formal verification,Empirical experiments and formal proof,Peer-reviewed analytic/internal,Full-text review confirms that CEV permits architecture to compensate for weak consensus features and iterates to an acceptable balance whereas C001 proposes non-compensating evidence ceilings across six assurance surfaces,N017 defeats any broad first CBDC evaluation verification or universal qualification claim; narrower decision-rule materiality remains unresolved,arXiv v3 and IEEE Access,Full-text feature reconciliation plus partial backward/forward public-metadata citation chain,NOT_PERFORMED,PRIMARY_FULL_TEXT_HASHED_AND_CITATION_CHAIN_PARTIAL,Eleven retained CEV forward citations need full-text reconciliation and independent challenge remains incomplete
