query_id,surface,query,searched_at,result_count,screened_count,included_count,access_status,date_range,filters,known_item_recovery,backward_citations,forward_citations,author_lab_follow_up,access_limit,last_new_predecessor,residual_risk,owner,verifier
Q001-arxiv_api,arxiv_api,all:central bank digital currency composable assurance privacy AML interoperability operational resilience,2026-08-28T23:09:21Z,25,0,0,PUBLIC_METADATA_CAPTURED,UNBOUNDED_API_DEFAULT_THROUGH_2026-08-29,BOUNDED_TOP_25_RESULTS,PARTIAL_TARGETED_ITEMS_TRACKED_IN_EVIDENCE_LEDGER,NOT_PERFORMED,NOT_PERFORMED,NOT_PERFORMED,PUBLIC_METADATA_ONLY; FULL_TEXT_AND_PROPRIETARY_INDEXES_NOT_EXHAUSTIVE,NOT_ASSESSED_IN_MECHANICAL_CAPTURE,FULL_TEXT_SCREENING_CITATION_CHAINING_AND_INDEPENDENT_CHALLENGE_INCOMPLETE,primary_novelty_search,UNASSIGNED
Q001-crossref_rest_v1,crossref_rest_v1,central bank digital currency composable assurance privacy AML interoperability operational resilience,2026-08-28T23:09:17Z,25,0,0,PUBLIC_METADATA_CAPTURED,UNBOUNDED_API_DEFAULT_THROUGH_2026-08-29,BOUNDED_TOP_25_RESULTS,PARTIAL_TARGETED_ITEMS_TRACKED_IN_EVIDENCE_LEDGER,NOT_PERFORMED,NOT_PERFORMED,NOT_PERFORMED,PUBLIC_METADATA_ONLY; FULL_TEXT_AND_PROPRIETARY_INDEXES_NOT_EXHAUSTIVE,NOT_ASSESSED_IN_MECHANICAL_CAPTURE,FULL_TEXT_SCREENING_CITATION_CHAINING_AND_INDEPENDENT_CHALLENGE_INCOMPLETE,primary_novelty_search,UNASSIGNED
Q001-openalex_works,openalex_works,central bank digital currency composable assurance privacy AML interoperability operational resilience,2026-08-28T23:09:20Z,25,0,0,PUBLIC_METADATA_CAPTURED,UNBOUNDED_API_DEFAULT_THROUGH_2026-08-29,BOUNDED_TOP_25_RESULTS,PARTIAL_TARGETED_ITEMS_TRACKED_IN_EVIDENCE_LEDGER,NOT_PERFORMED,NOT_PERFORMED,NOT_PERFORMED,PUBLIC_METADATA_ONLY; FULL_TEXT_AND_PROPRIETARY_INDEXES_NOT_EXHAUSTIVE,NOT_ASSESSED_IN_MECHANICAL_CAPTURE,FULL_TEXT_SCREENING_CITATION_CHAINING_AND_INDEPENDENT_CHALLENGE_INCOMPLETE,primary_novelty_search,UNASSIGNED
Q002-arxiv_api,arxiv_api,all:cross-border CBDC atomic settlement independent ledgers compliance certificate,2026-08-28T23:09:27Z,25,0,0,PUBLIC_METADATA_CAPTURED,UNBOUNDED_API_DEFAULT_THROUGH_2026-08-29,BOUNDED_TOP_25_RESULTS,PARTIAL_TARGETED_ITEMS_TRACKED_IN_EVIDENCE_LEDGER,NOT_PERFORMED,NOT_PERFORMED,NOT_PERFORMED,PUBLIC_METADATA_ONLY; FULL_TEXT_AND_PROPRIETARY_INDEXES_NOT_EXHAUSTIVE,NOT_ASSESSED_IN_MECHANICAL_CAPTURE,FULL_TEXT_SCREENING_CITATION_CHAINING_AND_INDEPENDENT_CHALLENGE_INCOMPLETE,primary_novelty_search,UNASSIGNED
Q002-crossref_rest_v1,crossref_rest_v1,cross-border CBDC atomic settlement independent ledgers compliance certificate,2026-08-28T23:09:22Z,25,0,0,PUBLIC_METADATA_CAPTURED,UNBOUNDED_API_DEFAULT_THROUGH_2026-08-29,BOUNDED_TOP_25_RESULTS,PARTIAL_TARGETED_ITEMS_TRACKED_IN_EVIDENCE_LEDGER,NOT_PERFORMED,NOT_PERFORMED,NOT_PERFORMED,PUBLIC_METADATA_ONLY; FULL_TEXT_AND_PROPRIETARY_INDEXES_NOT_EXHAUSTIVE,NOT_ASSESSED_IN_MECHANICAL_CAPTURE,FULL_TEXT_SCREENING_CITATION_CHAINING_AND_INDEPENDENT_CHALLENGE_INCOMPLETE,primary_novelty_search,UNASSIGNED
Q002-openalex_works,openalex_works,cross-border CBDC atomic settlement independent ledgers compliance certificate,2026-08-28T23:09:25Z,25,0,0,PUBLIC_METADATA_CAPTURED,UNBOUNDED_API_DEFAULT_THROUGH_2026-08-29,BOUNDED_TOP_25_RESULTS,PARTIAL_TARGETED_ITEMS_TRACKED_IN_EVIDENCE_LEDGER,NOT_PERFORMED,NOT_PERFORMED,NOT_PERFORMED,PUBLIC_METADATA_ONLY; FULL_TEXT_AND_PROPRIETARY_INDEXES_NOT_EXHAUSTIVE,NOT_ASSESSED_IN_MECHANICAL_CAPTURE,FULL_TEXT_SCREENING_CITATION_CHAINING_AND_INDEPENDENT_CHALLENGE_INCOMPLETE,primary_novelty_search,UNASSIGNED
Q003-arxiv_api,arxiv_api,all:central bank digital currency privacy AML compliance by design selective disclosure,2026-08-28T23:09:33Z,25,0,0,PUBLIC_METADATA_CAPTURED,UNBOUNDED_API_DEFAULT_THROUGH_2026-08-29,BOUNDED_TOP_25_RESULTS,PARTIAL_TARGETED_ITEMS_TRACKED_IN_EVIDENCE_LEDGER,NOT_PERFORMED,NOT_PERFORMED,NOT_PERFORMED,PUBLIC_METADATA_ONLY; FULL_TEXT_AND_PROPRIETARY_INDEXES_NOT_EXHAUSTIVE,NOT_ASSESSED_IN_MECHANICAL_CAPTURE,FULL_TEXT_SCREENING_CITATION_CHAINING_AND_INDEPENDENT_CHALLENGE_INCOMPLETE,primary_novelty_search,UNASSIGNED
Q003-crossref_rest_v1,crossref_rest_v1,central bank digital currency privacy AML compliance by design selective disclosure,2026-08-28T23:09:29Z,25,0,0,PUBLIC_METADATA_CAPTURED,UNBOUNDED_API_DEFAULT_THROUGH_2026-08-29,BOUNDED_TOP_25_RESULTS,PARTIAL_TARGETED_ITEMS_TRACKED_IN_EVIDENCE_LEDGER,NOT_PERFORMED,NOT_PERFORMED,NOT_PERFORMED,PUBLIC_METADATA_ONLY; FULL_TEXT_AND_PROPRIETARY_INDEXES_NOT_EXHAUSTIVE,NOT_ASSESSED_IN_MECHANICAL_CAPTURE,FULL_TEXT_SCREENING_CITATION_CHAINING_AND_INDEPENDENT_CHALLENGE_INCOMPLETE,primary_novelty_search,UNASSIGNED
Q003-openalex_works,openalex_works,central bank digital currency privacy AML compliance by design selective disclosure,2026-08-28T23:09:32Z,25,0,0,PUBLIC_METADATA_CAPTURED,UNBOUNDED_API_DEFAULT_THROUGH_2026-08-29,BOUNDED_TOP_25_RESULTS,PARTIAL_TARGETED_ITEMS_TRACKED_IN_EVIDENCE_LEDGER,NOT_PERFORMED,NOT_PERFORMED,NOT_PERFORMED,PUBLIC_METADATA_ONLY; FULL_TEXT_AND_PROPRIETARY_INDEXES_NOT_EXHAUSTIVE,NOT_ASSESSED_IN_MECHANICAL_CAPTURE,FULL_TEXT_SCREENING_CITATION_CHAINING_AND_INDEPENDENT_CHALLENGE_INCOMPLETE,primary_novelty_search,UNASSIGNED
Q004-arxiv_api,arxiv_api,all:CBDC holding limits scalability operational resilience qualification pilot,2026-08-28T23:09:37Z,25,0,0,PUBLIC_METADATA_CAPTURED,UNBOUNDED_API_DEFAULT_THROUGH_2026-08-29,BOUNDED_TOP_25_RESULTS,PARTIAL_TARGETED_ITEMS_TRACKED_IN_EVIDENCE_LEDGER,NOT_PERFORMED,NOT_PERFORMED,NOT_PERFORMED,PUBLIC_METADATA_ONLY; FULL_TEXT_AND_PROPRIETARY_INDEXES_NOT_EXHAUSTIVE,NOT_ASSESSED_IN_MECHANICAL_CAPTURE,FULL_TEXT_SCREENING_CITATION_CHAINING_AND_INDEPENDENT_CHALLENGE_INCOMPLETE,primary_novelty_search,UNASSIGNED
Q004-crossref_rest_v1,crossref_rest_v1,CBDC holding limits scalability operational resilience qualification pilot,2026-08-28T23:09:34Z,25,0,0,PUBLIC_METADATA_CAPTURED,UNBOUNDED_API_DEFAULT_THROUGH_2026-08-29,BOUNDED_TOP_25_RESULTS,PARTIAL_TARGETED_ITEMS_TRACKED_IN_EVIDENCE_LEDGER,NOT_PERFORMED,NOT_PERFORMED,NOT_PERFORMED,PUBLIC_METADATA_ONLY; FULL_TEXT_AND_PROPRIETARY_INDEXES_NOT_EXHAUSTIVE,NOT_ASSESSED_IN_MECHANICAL_CAPTURE,FULL_TEXT_SCREENING_CITATION_CHAINING_AND_INDEPENDENT_CHALLENGE_INCOMPLETE,primary_novelty_search,UNASSIGNED
