candidate_id,record_id,title,source,work_family,screening_disposition,c001_overlap,material_difference_or_exclusion_reason,access_status,full_text_status,claim_impact,independent_verification,checked_at
P001,http://arxiv.org/abs/2505.21008v3,A Hitchhiker's Guide to Privacy-Preserving Digital Payment Systems: A Survey on Anonymity Confidentiality and Auditability,arxiv_api,F-PRIVACY-SURVEY-2025,RETAIN_ADJACENT_PREDECESSOR,Privacy auditability and compliance taxonomy,Survey does not present the six-surface non-compensating qualification contract,PUBLIC_FULL_TEXT,ABSTRACT_REVIEWED_FULL_TEXT_PENDING,NARROWS_PRIVACY_AND_AUDITABILITY_LANGUAGE,NOT_PERFORMED,2026-08-29
P002,http://arxiv.org/abs/2509.25469v1,Balancing Compliance and Privacy in Offline CBDC Transactions Using a Secure Element-based System,arxiv_api,F-OFFLINE-SE-PROTOTYPE-2025,RETAIN_STRONG_PREDECESSOR,Prototype privacy compliance holding limits security and measured latency,Offline secure-element scope does not present the manuscript's joint online cross-border qualification method,PUBLIC_FULL_TEXT,PRIMARY_FULL_TEXT_REVIEWED,NARROWS_PROTOTYPE_PRIVACY_COMPLIANCE_AND_PERFORMANCE_CLAIMS,NOT_PERFORMED,2026-08-29
P003,http://arxiv.org/abs/2602.23659v2,Central Bank Digital Currencies: Where is the Privacy Technology and Anonymity?,arxiv_api,F-CBDC-PRIVACY-TAXONOMY-2026,RETAIN_ADJACENT_PREDECESSOR,Privacy definition PET mapping and interdisciplinary design,Privacy-centered taxonomy rather than cross-domain evidence qualification,PUBLIC_FULL_TEXT,ABSTRACT_REVIEWED_FULL_TEXT_PENDING,NARROWS_PRIVACY_TAXONOMY_CLAIMS,NOT_PERFORMED,2026-08-29
P004,http://arxiv.org/abs/2608.14562v1,Global AI Regulations for FAIR and Ethics in High-Risk Use Cases: A Comparative Review,arxiv_api,F-AI-REGULATION-2026,EXCLUDE_AFTER_ABSTRACT,Uses a CBDC debt-collection scenario,Primary subject is cross-jurisdiction AI regulation rather than CBDC assurance or monetary infrastructure,PUBLIC_FULL_TEXT,ABSTRACT_REVIEWED,NO_DIRECT_C001_IMPACT,NOT_PERFORMED,2026-08-29
P005,http://arxiv.org/abs/2507.09067v2,Quantum-Resilient Privacy Ledger: A Sovereign Digital Currency for the Post-Quantum Era,arxiv_api,F-QRPL-2025,RETAIN_ARCHITECTURE_PREDECESSOR,Privacy selective disclosure scalability and architecture,Architecture proposal does not expose the same non-compensating evidence-maturity contract,PUBLIC_FULL_TEXT,ABSTRACT_REVIEWED_FULL_TEXT_PENDING,NARROWS_ARCHITECTURE_PRIVACY_AND_SCALE_CLAIMS,NOT_PERFORMED,2026-08-29
P006,http://arxiv.org/abs/2603.03804v2,Zero-Knowledge Proof Authentication for Offline CBDC Payment System Using IoT Devices,arxiv_api,F-OFFLINE-ZKP-IOT-2026,RETAIN_PROTOTYPE_PREDECESSOR,Offline compliance privacy prototype and evaluation,Offline IoT authentication scope is narrower than the joint qualification method,PUBLIC_FULL_TEXT,ABSTRACT_REVIEWED_FULL_TEXT_PENDING,NARROWS_OFFLINE_PRIVACY_COMPLIANCE_PROTOTYPE_CLAIMS,NOT_PERFORMED,2026-08-29
P007,10.38105/spr.j0hildxtyi,AML by design: Designing a central bank digital currency to stifle money laundering,crossref_rest_v1,F-AML-BY-DESIGN-2022,RETAIN_STRONG_PREDECESSOR,AML design privacy compliance-cost tradeoffs and iterative measurement,Does not supply settlement economics scale and explicit evidence ceilings as one gate contract,PUBLIC_METADATA_AND_ABSTRACT,ABSTRACT_REVIEWED,DEFEATS_BROAD_AML_BY_DESIGN_PRIORITY,NOT_PERFORMED,2026-08-29
P008,10.2139/ssrn.3787088,Central Bank Digital Currency with Asymmetric Privacy,crossref_rest_v1,F-ASYMMETRIC-PRIVACY-2021,RETAIN_STRONG_PREDECESSOR,Privacy AML feasibility availability and economic rationale,Specific asymmetric-privacy design rather than six-surface qualification,PUBLIC_METADATA_AND_ABSTRACT,ABSTRACT_REVIEWED_FULL_TEXT_PENDING,NARROWS_PRIVACY_AVAILABILITY_AND_COMPLIANCE_CLAIMS,NOT_PERFORMED,2026-08-29
P009,10.2139/ssrn.3965050,How to issue a privacy-preserving central bank digital currency,crossref_rest_v1,F-CHAUM-CBDC-2021,RETAIN_STRONG_PREDECESSOR,Scalable privacy-preserving design meeting regulatory requirements,Specific issuance architecture rather than non-compensating evidence qualification,PUBLIC_METADATA_AND_ABSTRACT,ABSTRACT_REVIEWED_FULL_TEXT_PENDING,DEFEATS_BROAD_PRIVACY_PRESERVING_ISSUANCE_PRIORITY,NOT_PERFORMED,2026-08-29
P010,10.2139/ssrn.5394110,CBDC Cross-Border Settlement Prototype: Programmable Compliance for Cross-Border CBDC Settlement Using ISO 20022 and FATF Travel Rule Automation,crossref_rest_v1,F-ISO20022-TRAVEL-RULE-2025,HIGH_RISK_RETRIEVE_FULL_TEXT,Cross-border prototype programmable compliance ISO 20022 and FATF Travel Rule,Material difference cannot be assessed from title-only metadata,PUBLIC_METADATA_TITLE_ONLY,SSRN_PAGE_BLOCKED_403_FULL_TEXT_NOT_REVIEWED,POTENTIALLY_CLOSEST_OPERATIONAL_PREDECESSOR_AND_BLOCKS_NOVELTY_SURVIVAL,NOT_PERFORMED,2026-08-29
P011,10.58532/nbennurampo7,Cross-Border CBDC and Interoperability: Cross-Border Payments and Multiple CBDC Systems,crossref_rest_v1,F-MCBDC-CHAPTER-2025,RETAIN_REVIEW_PREDECESSOR,Atomic PvP interoperability programmability harmonized compliance privacy and financial integrity,Review chapter synthesizes pilots and design choices without an executed cross-domain qualification contract,PUBLIC_METADATA_AND_ABSTRACT,ABSTRACT_REVIEWED_FULL_TEXT_UNAVAILABLE,NARROWS_CROSS_BORDER_INTEROPERABILITY_AND_COMPLIANCE_SYNTHESIS_CLAIMS,NOT_PERFORMED,2026-08-29
P012,10.2139/ssrn.6676567,Digital Co-Governance: A Multi-CBDC and AI Architecture for Cross-Border Payments Beyond Dollar Dominance,crossref_rest_v1,F-DIGITAL-COGOV-2026,RETAIN_STRONG_PREDECESSOR,Atomic PvP programmable compliance liquidity optimisation simulation and governance,Optimises a specific mBridge-plus-AI architecture rather than a claim-maturity acceptance method,PUBLIC_SSRN_PAGE_AND_ABSTRACT,ABSTRACT_AND_METHOD_SUMMARY_REVIEWED,NARROWS_CROSS_BORDER_COMPLIANCE_SIMULATION_AND_GOVERNANCE_CLAIMS,NOT_PERFORMED,2026-08-29
P013,10.36227/techrxiv.175022064.47828583/v1,Digital Yuan Cross-Border Pilot: Blockchain and AI Integration in China's CBDC Infrastructure 2021-2024,crossref_rest_v1,F-DIGITAL-YUAN-PILOT-2025,RETAIN_WITH_EVIDENCE_CAUTION,Claims pilot analysis across compliance scalability and bilateral settlement,Metadata does not establish access to primary pilot data or a matching qualification contract,PUBLIC_METADATA_AND_ABSTRACT,ABSTRACT_REVIEWED_FULL_TEXT_PENDING,REQUIRES_SOURCE_AND_EMPIRICAL_PROVENANCE_CHECK_BEFORE_USE,NOT_PERFORMED,2026-08-29
P014,10.2139/ssrn.7057658,Sovereign Asset Tokenization and Federated Cross-Border Securities Settlement,crossref_rest_v1,F-FEDERATED-SECURITIES-2026,RETAIN_ADJACENT_ARCHITECTURE,Federated sovereign interoperability sanctions compliance privacy and settlement,Tokenised securities rather than CBDC monetary assurance and qualification,PUBLIC_METADATA_AND_ABSTRACT,ABSTRACT_REVIEWED_FULL_TEXT_PENDING,NARROWS_FEDERATED_INTEROPERABILITY_AND_SANCTIONS_LANGUAGE,NOT_PERFORMED,2026-08-29
P015,10.2139/ssrn.6232900,The Gold Bridge Protocol: Neutral Cross-Border CBDC Settlement via Tokenised Gold,crossref_rest_v1,F-GOLD-BRIDGE-2026,RETAIN_STRONG_PREDECESSOR,Atomic settlement sanctions ring-fencing confidential compliance and simulation,Uses a tokenised-gold bridge asset and specific corridors rather than independent-ledger evidence qualification,PUBLIC_METADATA_AND_ABSTRACT,ABSTRACT_REVIEWED_FULL_TEXT_PENDING,NARROWS_CROSS_BORDER_SETTLEMENT_COMPLIANCE_AND_SIMULATION_CLAIMS,NOT_PERFORMED,2026-08-29
P016,https://openalex.org/W4396692413,Compliance Design Options for Offline CBDCs: Balancing Privacy and AML/CFT,openalex_works,F-OFFLINE-COMPLIANCE-OPTIONS,MERGE_VERSION_FAMILY,Offline privacy and AML/CFT design classification,Earlier version of the peer-reviewed work represented by P017,PUBLIC_METADATA_TITLE_ONLY,VERSION_LINKAGE_PENDING,NO_ADDITIONAL_CLAIM_BEYOND_FAMILY,NOT_PERFORMED,2026-08-29
P017,https://openalex.org/W4410886881,Privacy and Compliance Design Options in Offline Central Bank Digital Currencies,openalex_works,F-OFFLINE-COMPLIANCE-OPTIONS,RETAIN_STRONGEST_VERSION,Offline privacy AML/CFT classification and compliance-by-design,Offline analytic classification rather than joint executed qualification,PUBLIC_METADATA_AND_ABSTRACT,ABSTRACT_REVIEWED_FULL_TEXT_PENDING,DEFEATS_BROAD_OFFLINE_PRIVACY_COMPLIANCE_PRIORITY,NOT_PERFORMED,2026-08-29
P018,10.3390/blockchains4030012,Blockchain-Enabled Central Bank Digital Currency: Technological Architecture Privacy and Institutional Design,crossref_rest_v1,F-PARAMETRIC-CBDC-2026,RETAIN_STRONG_PREDECESSOR,Joint architecture privacy institutional rules holding-cap threshold and convergence analysis,Analytical parametric vocabulary explicitly lacks pilot calibration and is not the same evidence-gating contract,PUBLIC_VERSION_OF_RECORD,PRIMARY_HTML_REVIEWED,NARROWS_POLICY_LIMIT_ARCHITECTURE_AND_ANALYTICAL_FRAMEWORK_CLAIMS,NOT_PERFORMED,2026-08-29
P019,10.2139/ssrn.3755573,Tax Compliance Payment Choice and Central Bank Digital Currency,crossref_rest_v1,F-TAX-COMPLIANCE-2021,RETAIN_ADJACENT_PREDECESSOR,Compliance anonymity policy design and welfare,Tax-evasion equilibrium model does not address the joint technical qualification mechanism,PUBLIC_METADATA_AND_ABSTRACT,ABSTRACT_REVIEWED_FULL_TEXT_PENDING,NARROWS_PRIVACY_COMPLIANCE_ECONOMIC_TRADEOFF_CLAIMS,NOT_PERFORMED,2026-08-29
P020,https://openalex.org/W3161610010,Privacy and Transparency in CBDCs: A Regulation-by-Design AML/CFT Scheme,openalex_works,F-REGULATION-BY-DESIGN-2021-2022,MERGE_VERSION_FAMILY,Privacy and AML/CFT regulation-by-design,Preprint or metadata version of the family represented by P022,PUBLIC_METADATA_TITLE_ONLY,VERSION_LINKAGE_PENDING,NO_ADDITIONAL_CLAIM_BEYOND_FAMILY,NOT_PERFORMED,2026-08-29
P021,https://openalex.org/W3177297672,Privacy and Transparency in CBDCs: A Regulation-by-Design AML/CFT Scheme,openalex_works,F-REGULATION-BY-DESIGN-2021-2022,MERGE_VERSION_FAMILY,Techno-legal privacy AML/CFT taxonomy and regulation-by-design,Conference version of the family represented by P022,PUBLIC_METADATA_AND_ABSTRACT,ABSTRACT_REVIEWED_VERSION_LINKAGE_PENDING,NO_ADDITIONAL_CLAIM_BEYOND_FAMILY,NOT_PERFORMED,2026-08-29
P022,https://openalex.org/W4251241846,Privacy and Transparency in CBDCs: A Regulation-by-Design AML/CFT Scheme,openalex_works,F-REGULATION-BY-DESIGN-2021-2022,RETAIN_STRONGEST_VERSION,Techno-legal privacy AML/CFT taxonomy and regulation-by-design,Privacy and compliance domain only rather than six-surface qualification,PUBLIC_METADATA_AND_ABSTRACT,ABSTRACT_REVIEWED_FULL_TEXT_PENDING,DEFEATS_BROAD_PRIVACY_AML_REGULATION_BY_DESIGN_PRIORITY,NOT_PERFORMED,2026-08-29
P023,http://arxiv.org/abs/2404.12821v1,Benchmarking the performance of a self-custody non-ledger-based obliviously managed digital payment system,arxiv_api,F-OBLIVIOUS-CBDC-BENCHMARK-2024,RETAIN_PROTOTYPE_PREDECESSOR,Privacy provenance verification architecture and performance benchmark,Specific payment architecture and benchmark rather than a cross-domain evidence qualification method,PUBLIC_FULL_TEXT,ABSTRACT_REVIEWED_FULL_TEXT_PENDING,NARROWS_PRIVACY_PROVENANCE_PERFORMANCE_AND_BENCHMARK_CLAIMS,NOT_PERFORMED,2026-08-29
P024,10.58532/nbennurampo3,CBDC Design and Architecture,crossref_rest_v1,F-CBDC-ARCHITECTURE-CHAPTER-2025,RETAIN_BACKGROUND_SYNTHESIS,Retail wholesale identity privacy offline compliance interoperability and resilience overview,General review chapter without a matching executable qualification method,PUBLIC_METADATA_AND_ABSTRACT,ABSTRACT_REVIEWED_FULL_TEXT_UNAVAILABLE,NARROWS_BROAD_MULTI_SURFACE_SYNTHESIS_LANGUAGE,NOT_PERFORMED,2026-08-29
P025,10.58532/nbennurampo6,CBDC Interoperability with Existing Financial Infrastructure,crossref_rest_v1,F-CBDC-LEGACY-INTEROP-2025,RETAIN_BACKGROUND_SYNTHESIS,Interoperability settlement networks compliance frameworks resilience and standards,General review chapter without claim-level evidence maturity gates,PUBLIC_METADATA_AND_ABSTRACT,ABSTRACT_REVIEWED_FULL_TEXT_UNAVAILABLE,NARROWS_INTEROPERABILITY_COMPLIANCE_AND_RESILIENCE_LANGUAGE,NOT_PERFORMED,2026-08-29
P026,http://arxiv.org/abs/2112.01122v3,CEV Framework: A Central Bank Digital Currency Evaluation and Verification Framework With a Focus on Consensus Algorithms and Operating Architectures,arxiv_api,F-CEV-2022,RETAIN_CLOSEST_METHOD_PREDECESSOR,Recommends CBDC technical solutions and verifies them through empirical experiments and formal proof,Full-text comparison confirms compensating consensus/architecture tradeoffs versus C001's proposed non-compensating evidence ceilings; materiality remains independently unverified,PUBLIC_FULL_TEXT_AND_IEEE_DOI,PRIMARY_FULL_TEXT_REVIEWED_AND_HASHED_CITATION_CHAIN_PARTIAL,POTENTIALLY_CLOSEST_METHOD_PREDECESSOR_DEFEATS_BROAD_FIRST_FRAMEWORK_CLAIM_AND_REQUIRES_FORWARD_CITATION_RECONCILIATION,NOT_PERFORMED,2026-08-29
