chain_id,seed_id,seed_title,direction,source,work_id,title,year,doi,decision,c001_impact,metadata_status,scientific_verification
CH001,CEV2022,CEV Framework: A Central Bank Digital Currency Evaluation and Verification Framework With a Focus on Consensus Algorithms and Operating Architectures,backward,crossref_reference_list,ref26,ref26,,10.1016/j.jmoneco.2021.05.002,CONTEXTUAL_REFERENCE,NO_DIRECT_C001_IMPACT,REFERENCE_METADATA_ONLY,NOT_PERFORMED
CH002,CEV2022,CEV Framework: A Central Bank Digital Currency Evaluation and Verification Framework With a Focus on Consensus Algorithms and Operating Architectures,backward,openalex_works,https://openalex.org/W2126087831,Practical Byzantine fault tolerance,1999,10.5555/296806.296824,RETAIN_TECHNICAL_FOUNDATION,CONTEXT_FOR_CEV_METHOD_ONLY,PUBLIC_METADATA,NOT_PERFORMED
CH003,CEV2022,CEV Framework: A Central Bank Digital Currency Evaluation and Verification Framework With a Focus on Consensus Algorithms and Operating Architectures,backward,openalex_works,https://openalex.org/W4206840328,"Distributed computing: principles, algorithms, and systems",2009,10.5860/choice.46-5076,CONTEXTUAL_REFERENCE,NO_DIRECT_C001_IMPACT,PUBLIC_METADATA,NOT_PERFORMED
CH004,CEV2022,CEV Framework: A Central Bank Digital Currency Evaluation and Verification Framework With a Focus on Consensus Algorithms and Operating Architectures,backward,crossref_reference_list,ref46,Temporal Logic,2012,,CONTEXTUAL_REFERENCE,NO_DIRECT_C001_IMPACT,REFERENCE_METADATA_ONLY,NOT_PERFORMED
CH005,CEV2022,CEV Framework: A Central Bank Digital Currency Evaluation and Verification Framework With a Focus on Consensus Algorithms and Operating Architectures,backward,openalex_works,https://openalex.org/W1454642304,Evaluating User Privacy in Bitcoin,2013,10.1007/978-3-642-39884-1_4,RETAIN_TECHNICAL_FOUNDATION,CONTEXT_FOR_CEV_METHOD_ONLY,PUBLIC_METADATA,NOT_PERFORMED
CH006,CEV2022,CEV Framework: A Central Bank Digital Currency Evaluation and Verification Framework With a Focus on Consensus Algorithms and Operating Architectures,backward,crossref_reference_list,ref45,Ethereum: A secure decentralized generalized transaction ledger,2014,,CONTEXTUAL_REFERENCE,NO_DIRECT_C001_IMPACT,REFERENCE_METADATA_ONLY,NOT_PERFORMED
CH007,CEV2022,CEV Framework: A Central Bank Digital Currency Evaluation and Verification Framework With a Focus on Consensus Algorithms and Operating Architectures,backward,openalex_works,https://openalex.org/W2156580773,In search of an understandable consensus algorithm,2014,,RETAIN_TECHNICAL_FOUNDATION,CONTEXT_FOR_CEV_METHOD_ONLY,PUBLIC_METADATA,NOT_PERFORMED
CH008,CEV2022,CEV Framework: A Central Bank Digital Currency Evaluation and Verification Framework With a Focus on Consensus Algorithms and Operating Architectures,backward,crossref_reference_list,ref35,Architecture of the hyperledger blockchain fabric,2016,,RETAIN_TECHNICAL_FOUNDATION,CONTEXT_FOR_CEV_METHOD_ONLY,REFERENCE_METADATA_ONLY,NOT_PERFORMED
CH009,CEV2022,CEV Framework: A Central Bank Digital Currency Evaluation and Verification Framework With a Focus on Consensus Algorithms and Operating Architectures,backward,crossref_reference_list,ref37,Bitcoin-NG: A scalable blockchain protocol,2016,,RETAIN_TECHNICAL_FOUNDATION,CONTEXT_FOR_CEV_METHOD_ONLY,REFERENCE_METADATA_ONLY,NOT_PERFORMED
CH010,CEV2022,CEV Framework: A Central Bank Digital Currency Evaluation and Verification Framework With a Focus on Consensus Algorithms and Operating Architectures,backward,crossref_reference_list,ref38,The bitcoin lightning network Scalable off-chain instant payments,2016,,CONTEXTUAL_REFERENCE,NO_DIRECT_C001_IMPACT,REFERENCE_METADATA_ONLY,NOT_PERFORMED
