feature_id,comparison_axis,cev_2022_full_text_evidence,cev_scope,c001_scope,relationship,disposition,source_location,verification_status
CF01,Framework purpose,"Two sub-frameworks recommend consensus algorithms and operating architectures, then validate proposed solutions.",CBDC evaluation and verification framework,Claim-to-evidence qualification across six assurance surfaces,Direct method-level overlap,"Defeats any broad first CBDC evaluation or verification framework claim",CEV pp. 1 and 3,PRIMARY_FULL_TEXT_REVIEWED
CF02,Assurance domains,"The declared technical features are performance, security and privacy; the paper says other features can be added in future.",Performance security privacy,"Settlement safety; privacy and DP; AML and sanctions; holding-limit policy; scale qualification",C001 is broader but breadth alone is not novelty,"Narrow contribution must be the decision rule and evidence ceiling, not domain count",CEV pp. 3 and 13,PRIMARY_FULL_TEXT_REVIEWED
CF03,Design selection,"Designers set preferred technical features from economic and regulatory conditions; the evaluation layer recommends architecture and consensus choices.",Preference-driven recommendation,"Predeclared claims, maturity ceilings, acceptance thresholds and fail-closed gates",Partial overlap with different decision semantics,"Potentially differentiating only if non-compensation changes an assurance decision",CEV p. 3,PRIMARY_FULL_TEXT_REVIEWED
CF04,Trade-offs and compensation,"CEV states that consensus cannot achieve all features simultaneously and improves operating architecture to compensate for weak features.",Compensating architecture and feature trade-offs,"A failed critical evidence surface cannot be repaired by strength on another surface",Material decision-rule difference,"Supports the hypothesis of a non-compensating distinction; independent verification still required",CEV pp. 1 and 6,PRIMARY_FULL_TEXT_REVIEWED
CF05,Verification method,"CEV models a proposed solution, runs empirical experiments for performance and uses formal proofs mainly for security and privacy.",Empirical plus formal verification,"Formal model, synthetic experiments, internal prototype, official-list benchmark and staged scale falsification with typed maturity",Strong overlap in evidence modalities,"C001 cannot claim first empirical/formal CBDC qualification",CEV pp. 7-8,PRIMARY_FULL_TEXT_REVIEWED
CF06,Iteration and acceptance,"If results are unsatisfactory, designers adjust preferences and iterate until an acceptable balance point.",Iterative preference adjustment and balance,"Prespecified non-compensating gates and claim ceilings; failure narrows or blocks the claim",Distinct acceptance logic,"Potentially material difference, but CEV full text alone cannot prove C001 novelty",CEV pp. 3 and 12-13,PRIMARY_FULL_TEXT_REVIEWED
CF07,Cross-border settlement,"Cross-border business is mentioned as context, but the evaluated example is a domestic tiered token/sharding architecture.",No evaluated cross-border atomic evidence protocol,"Bilateral compliance and prepare evidence bound to terminal certificates across sovereign ledgers",No direct implementation overlap found in the reviewed full text,"Do not infer universal absence beyond this version; SSRN 5394110 remains the closer cross-border blocker",CEV pp. 2 and 7-12,PRIMARY_FULL_TEXT_REVIEWED
CF08,Financial integrity and privacy,"Customer privacy and business secrecy are analyzed; the text contains no AML, sanctions, compliance or differential-privacy evaluation.",Privacy without financial-integrity benchmark or DP accountant,"Residual-linkability attacks; bounded DP; AML ranking; sanctions workload",Adjacent privacy overlap,"C001 must cite CEV for privacy/architecture context but may retain bounded integrity/DP differentiation",CEV pp. 3 and 6-12 plus full-text term audit,PRIMARY_FULL_TEXT_REVIEWED
CF09,Monetary policy and holding limits,"Economic and regulatory conditions select preferences, but no holding-limit model, partial identification or adaptive policy rule is evaluated.",Policy conditions as inputs,"Partially identified and adaptive holding-limit decision method",No direct method overlap found,"Absence in one paper is not universal novelty evidence",CEV pp. 3 and 13 plus full-text term audit,PRIMARY_FULL_TEXT_REVIEWED
CF10,Scale and field evidence,"CEV tests performance under simulated full load and acknowledges that the framework needs more efficient verification and more technical features.",Performance experiments; no staged physical multi-region or governed field qualification,"Analytical lower bound, trace-driven simulation, physical multi-region gate and governed pilot gate",Partial performance-method overlap,"C001 cannot claim first performance verification; staged maturity remains potentially differentiating",CEV pp. 7-13,PRIMARY_FULL_TEXT_REVIEWED
CF11,Reproducibility maturity,"The article presents algorithms, experiments and formal proofs; no research-artifact repository or independent replication package was identified in the reviewed version.",Peer-reviewed article evidence,"Executable local package with tests, source data, environment lock and checksums",Evidence-packaging difference,"Useful reproducibility difference but not sufficient by itself for novelty",CEV full-text repository-term audit,PRIMARY_FULL_TEXT_REVIEWED
