query_id,surface,query,searched_at,result_count,screened_count,included_count,access_status,date_range,filters,known_item_recovery,backward_citations,forward_citations,author_lab_follow_up,access_limit,last_new_predecessor,residual_risk,owner,verifier
Q001-arxiv_api,arxiv_api,"all:""central bank digital currency"" AND (all:composable OR all:assurance OR all:interoperability OR all:privacy OR all:AML OR all:""anti-money laundering"" OR all:""operational resilience"")",2026-08-28T23:23:07Z,25,25,24,PUBLIC_METADATA_CAPTURED;AI_ASSISTED_PRIMARY_SCREEN_DRAFT,UNBOUNDED_API_DEFAULT_THROUGH_2026-08-29,BOUNDED_TOP_25_RESULTS,PARTIAL_TARGETED_ITEMS_TRACKED_IN_EVIDENCE_LEDGER,NOT_PERFORMED,NOT_PERFORMED,NOT_PERFORMED,PUBLIC_METADATA_ONLY; FULL_TEXT_AND_PROPRIETARY_INDEXES_NOT_EXHAUSTIVE,PRIORITY_CANDIDATES_RETAINED_FOR_FULL_TEXT_RECONCILIATION,ACCOUNTABLE_SCREEN_VERIFICATION_FULL_TEXT_RECONCILIATION_CITATION_CHAINING_AND_INDEPENDENT_CHALLENGE_INCOMPLETE,primary_novelty_search,UNASSIGNED
Q001-crossref_rest_v1,crossref_rest_v1,central bank digital currency composable assurance privacy AML interoperability operational resilience,2026-08-28T23:09:17Z,25,25,23,PUBLIC_METADATA_CAPTURED;AI_ASSISTED_PRIMARY_SCREEN_DRAFT,UNBOUNDED_API_DEFAULT_THROUGH_2026-08-29,BOUNDED_TOP_25_RESULTS,PARTIAL_TARGETED_ITEMS_TRACKED_IN_EVIDENCE_LEDGER,NOT_PERFORMED,NOT_PERFORMED,NOT_PERFORMED,PUBLIC_METADATA_ONLY; FULL_TEXT_AND_PROPRIETARY_INDEXES_NOT_EXHAUSTIVE,PRIORITY_CANDIDATES_RETAINED_FOR_FULL_TEXT_RECONCILIATION,ACCOUNTABLE_SCREEN_VERIFICATION_FULL_TEXT_RECONCILIATION_CITATION_CHAINING_AND_INDEPENDENT_CHALLENGE_INCOMPLETE,primary_novelty_search,UNASSIGNED
Q001-openalex_works,openalex_works,central bank digital currency composable assurance privacy AML interoperability operational resilience,2026-08-28T23:09:20Z,25,25,2,PUBLIC_METADATA_CAPTURED;AI_ASSISTED_PRIMARY_SCREEN_DRAFT,UNBOUNDED_API_DEFAULT_THROUGH_2026-08-29,BOUNDED_TOP_25_RESULTS,PARTIAL_TARGETED_ITEMS_TRACKED_IN_EVIDENCE_LEDGER,NOT_PERFORMED,NOT_PERFORMED,NOT_PERFORMED,PUBLIC_METADATA_ONLY; FULL_TEXT_AND_PROPRIETARY_INDEXES_NOT_EXHAUSTIVE,PRIORITY_CANDIDATES_RETAINED_FOR_FULL_TEXT_RECONCILIATION,ACCOUNTABLE_SCREEN_VERIFICATION_FULL_TEXT_RECONCILIATION_CITATION_CHAINING_AND_INDEPENDENT_CHALLENGE_INCOMPLETE,primary_novelty_search,UNASSIGNED
Q002-arxiv_api,arxiv_api,"all:""central bank digital currency"" AND (all:""cross-border"" OR all:interoperability) AND (all:atomic OR all:settlement OR all:certificate OR all:ledger)",2026-08-28T23:23:08Z,8,8,8,PUBLIC_METADATA_CAPTURED;AI_ASSISTED_PRIMARY_SCREEN_DRAFT,UNBOUNDED_API_DEFAULT_THROUGH_2026-08-29,BOUNDED_TOP_25_RESULTS,PARTIAL_TARGETED_ITEMS_TRACKED_IN_EVIDENCE_LEDGER,NOT_PERFORMED,NOT_PERFORMED,NOT_PERFORMED,PUBLIC_METADATA_ONLY; FULL_TEXT_AND_PROPRIETARY_INDEXES_NOT_EXHAUSTIVE,PRIORITY_CANDIDATES_RETAINED_FOR_FULL_TEXT_RECONCILIATION,ACCOUNTABLE_SCREEN_VERIFICATION_FULL_TEXT_RECONCILIATION_CITATION_CHAINING_AND_INDEPENDENT_CHALLENGE_INCOMPLETE,primary_novelty_search,UNASSIGNED
Q002-crossref_rest_v1,crossref_rest_v1,cross-border CBDC atomic settlement independent ledgers compliance certificate,2026-08-28T23:09:22Z,25,25,13,PUBLIC_METADATA_CAPTURED;AI_ASSISTED_PRIMARY_SCREEN_DRAFT,UNBOUNDED_API_DEFAULT_THROUGH_2026-08-29,BOUNDED_TOP_25_RESULTS,PARTIAL_TARGETED_ITEMS_TRACKED_IN_EVIDENCE_LEDGER,NOT_PERFORMED,NOT_PERFORMED,NOT_PERFORMED,PUBLIC_METADATA_ONLY; FULL_TEXT_AND_PROPRIETARY_INDEXES_NOT_EXHAUSTIVE,PRIORITY_CANDIDATES_RETAINED_FOR_FULL_TEXT_RECONCILIATION,ACCOUNTABLE_SCREEN_VERIFICATION_FULL_TEXT_RECONCILIATION_CITATION_CHAINING_AND_INDEPENDENT_CHALLENGE_INCOMPLETE,primary_novelty_search,UNASSIGNED
Q002-openalex_works,openalex_works,cross-border CBDC atomic settlement independent ledgers compliance certificate,2026-08-28T23:09:25Z,25,25,8,PUBLIC_METADATA_CAPTURED;AI_ASSISTED_PRIMARY_SCREEN_DRAFT,UNBOUNDED_API_DEFAULT_THROUGH_2026-08-29,BOUNDED_TOP_25_RESULTS,PARTIAL_TARGETED_ITEMS_TRACKED_IN_EVIDENCE_LEDGER,NOT_PERFORMED,NOT_PERFORMED,NOT_PERFORMED,PUBLIC_METADATA_ONLY; FULL_TEXT_AND_PROPRIETARY_INDEXES_NOT_EXHAUSTIVE,PRIORITY_CANDIDATES_RETAINED_FOR_FULL_TEXT_RECONCILIATION,ACCOUNTABLE_SCREEN_VERIFICATION_FULL_TEXT_RECONCILIATION_CITATION_CHAINING_AND_INDEPENDENT_CHALLENGE_INCOMPLETE,primary_novelty_search,UNASSIGNED
Q003-arxiv_api,arxiv_api,"all:""central bank digital currency"" AND (all:privacy OR all:""differential privacy"") AND (all:AML OR all:sanctions OR all:compliance OR all:""financial integrity"")",2026-08-28T23:23:08Z,4,4,4,PUBLIC_METADATA_CAPTURED;AI_ASSISTED_PRIMARY_SCREEN_DRAFT,UNBOUNDED_API_DEFAULT_THROUGH_2026-08-29,BOUNDED_TOP_25_RESULTS,PARTIAL_TARGETED_ITEMS_TRACKED_IN_EVIDENCE_LEDGER,NOT_PERFORMED,NOT_PERFORMED,NOT_PERFORMED,PUBLIC_METADATA_ONLY; FULL_TEXT_AND_PROPRIETARY_INDEXES_NOT_EXHAUSTIVE,PRIORITY_CANDIDATES_RETAINED_FOR_FULL_TEXT_RECONCILIATION,ACCOUNTABLE_SCREEN_VERIFICATION_FULL_TEXT_RECONCILIATION_CITATION_CHAINING_AND_INDEPENDENT_CHALLENGE_INCOMPLETE,primary_novelty_search,UNASSIGNED
Q003-crossref_rest_v1,crossref_rest_v1,central bank digital currency privacy AML compliance by design selective disclosure,2026-08-28T23:09:29Z,25,25,22,PUBLIC_METADATA_CAPTURED;AI_ASSISTED_PRIMARY_SCREEN_DRAFT,UNBOUNDED_API_DEFAULT_THROUGH_2026-08-29,BOUNDED_TOP_25_RESULTS,PARTIAL_TARGETED_ITEMS_TRACKED_IN_EVIDENCE_LEDGER,NOT_PERFORMED,NOT_PERFORMED,NOT_PERFORMED,PUBLIC_METADATA_ONLY; FULL_TEXT_AND_PROPRIETARY_INDEXES_NOT_EXHAUSTIVE,PRIORITY_CANDIDATES_RETAINED_FOR_FULL_TEXT_RECONCILIATION,ACCOUNTABLE_SCREEN_VERIFICATION_FULL_TEXT_RECONCILIATION_CITATION_CHAINING_AND_INDEPENDENT_CHALLENGE_INCOMPLETE,primary_novelty_search,UNASSIGNED
Q003-openalex_works,openalex_works,central bank digital currency privacy AML compliance by design selective disclosure,2026-08-28T23:09:32Z,25,25,11,PUBLIC_METADATA_CAPTURED;AI_ASSISTED_PRIMARY_SCREEN_DRAFT,UNBOUNDED_API_DEFAULT_THROUGH_2026-08-29,BOUNDED_TOP_25_RESULTS,PARTIAL_TARGETED_ITEMS_TRACKED_IN_EVIDENCE_LEDGER,NOT_PERFORMED,NOT_PERFORMED,NOT_PERFORMED,PUBLIC_METADATA_ONLY; FULL_TEXT_AND_PROPRIETARY_INDEXES_NOT_EXHAUSTIVE,PRIORITY_CANDIDATES_RETAINED_FOR_FULL_TEXT_RECONCILIATION,ACCOUNTABLE_SCREEN_VERIFICATION_FULL_TEXT_RECONCILIATION_CITATION_CHAINING_AND_INDEPENDENT_CHALLENGE_INCOMPLETE,primary_novelty_search,UNASSIGNED
Q004-arxiv_api,arxiv_api,"all:""central bank digital currency"" AND (all:""holding limit"" OR all:policy OR all:resilience OR all:scalability OR all:performance)",2026-08-28T23:23:09Z,25,25,17,PUBLIC_METADATA_CAPTURED;AI_ASSISTED_PRIMARY_SCREEN_DRAFT,UNBOUNDED_API_DEFAULT_THROUGH_2026-08-29,BOUNDED_TOP_25_RESULTS,PARTIAL_TARGETED_ITEMS_TRACKED_IN_EVIDENCE_LEDGER,NOT_PERFORMED,NOT_PERFORMED,NOT_PERFORMED,PUBLIC_METADATA_ONLY; FULL_TEXT_AND_PROPRIETARY_INDEXES_NOT_EXHAUSTIVE,PRIORITY_CANDIDATES_RETAINED_FOR_FULL_TEXT_RECONCILIATION,ACCOUNTABLE_SCREEN_VERIFICATION_FULL_TEXT_RECONCILIATION_CITATION_CHAINING_AND_INDEPENDENT_CHALLENGE_INCOMPLETE,primary_novelty_search,UNASSIGNED
